Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected),Pattern 9 (%),Pattern 9 (% Detected),Pattern 10 (%),Pattern 10 (% Detected)
51,0.2136036186965991,0.2200158856235107,0.0,0.3,0.3,0.7,0.14893617021276595,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.6,0.2222222222222222,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
52,0.21779192494555202,0.22398729150119143,0.0,0.3,0.3,0.7,0.14893617021276595,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.6,0.2222222222222222,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
53,0.22198023119450494,0.22716441620333597,0.0,0.3,0.3,0.8,0.1702127659574468,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.6,0.2222222222222222,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
54,0.22616853744345786,0.23272438443208895,0.0,0.3,0.3,0.8,0.1702127659574468,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.6,0.2222222222222222,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
55,0.2303568436924108,0.23510722795869737,0.0,0.3,0.3,0.8,0.1702127659574468,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.6,0.2222222222222222,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
56,0.23454514994136372,0.2390786338363781,0.0,0.3,0.3,0.8,0.1702127659574468,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.6,0.2222222222222222,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
57,0.23873345619031663,0.24305003971405878,0.0,0.3,0.3,0.9,0.19148936170212766,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
58,0.24292176243926955,0.24702144559173947,0.0,0.3,0.3,0.9,0.19148936170212766,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
59,0.2471100686882225,0.2494042891183479,0.0,0.3,0.3,0.9,0.19148936170212766,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
60,0.2512983749371754,0.2541699761715647,0.0,0.3,0.3,1.0,0.2127659574468085,0.1,0.1,0.2,0.14285714285714285,0.0,0.0,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
